"id","public_id","company_id","lh_id","profile_url","name","logo","type","phone","website","tagline","staff_count","staff_count_range_start","staff_count_range_end","follower_count","description","founded_on","headquarter_country","headquarter_city","headquarter_geographic_area","headquarter_line1","headquarter_line2","headquarter_postal_code","industries","specialities","tags","add_to_target_date","result_created_at","2ad97e0007af4fd4c264b510ff816acb"
"alphasense","alphasense","2316358","10915","https://www.linkedin.com/company/alphasense/","AlphaSense","https://media-exp1.licdn.com/dms/image/C4D0BAQE8EjIR1fxkQg/company-logo_400_400/0/1536186675833?e=1638403200&v=beta&t=I70_Lw5J5qXM_aAZV79C4wF_Qc8kJdTH3wBYrJnZdag","PRIVATELY_HELD","646-609-8055","http://www.alpha-sense.com","Market Intelligence Search Engine","501","201","500","21098","AlphaSense is a search engine for market intelligence that transforms how decisions are made by the world’s leading corporations and financial institutions. Leveraging AI and NLP technology, AlphaSense enables knowledge professionals to extract insights in seconds from thousands of previously disparate business data sources, including company filings, event transcripts, news and trade journals, and equity research. Founded in 2011 and backed by investors including Innovation Endeavors and Soros Fund Management, AlphaSense is on a mission to empower organizations to make data-driven decisions with confidence. To learn more, please visit www.alpha-sense.com.","2011","US","New York","New York","24 Union Sq E","6th Floor","10003","Information Technology & Services","Investment Research,semantic search,company research,competitive intelligence,market intelligence,sentiment analysis,equity research,market research,corporate strategy",,"2021-08-30T16:16:30.424Z","2021-08-30T17:21:58.867Z","787ae6105d86160ab8e566212b357221"
"altaitservices","altaitservices","50923","10916","https://www.linkedin.com/company/altaitservices/","ALTA IT Services, LLC","https://media-exp1.licdn.com/dms/image/C4E0BAQHkCuJC4cGidw/company-logo_400_400/0/1549562748675?e=1638403200&v=beta&t=dLTi7vKoQZLH12geDMVFqO-sMJ1Dp9NoLUXFaLVbA60","PRIVATELY_HELD",,"http://www.altaits.com","All About Exceptional People and Exceptional Results","166","201","500","17561","ALTA IT Services combines experience and expertise to deliver IT talent that meets and exceeds the expectations of our clients. For more than sixteen years, we have specialized in delivering IT services and staffing nationwide from our Rockville, MD headquarters, and two regional offices located in Columbia, MD and Cincinnati, OH.  ALTA provides IT staffing and services to support critical IT initiatives, including Agile Transformation Services, Program & Project Management, Application Development, Cybersecurity, and Data & Advanced Analytics. Our team of more than 34 recruiting professionals can recruit virtually any skill necessary to support both government and commercial client needs throughout the United States.   The foundation of our business operations is that we build relationships to last. We do this by placing the highest priority on our core values of integrity, reliability, and quality. We take the responsibilities entrusted to us by our clients and IT professionals very seriously.  As a result, we are proud to say that the majority of our clients have been with us for more than a decade. We work hard every day to earn and keep their trust. That is the promise that we make to all of our clients.","2004","US","Rockville","MD","9210 Corporate Blvd.","Suite 200","20850","Staffing & Recruiting","Recruitment,IT Staffing,Workforce Solutions,Hiring,Information Technology,IT Services,Government Contracting",,"2021-08-30T16:16:30.424Z","2021-08-30T17:22:54.252Z","6a992c76a0dbec303549af32ce5661b0"
"altman-solon","altman-solon","65683578","10917","https://www.linkedin.com/company/altman-solon/","Altman Solon","https://media-exp1.licdn.com/dms/image/C4D0BAQEYm5BoxgypBw/company-logo_400_400/0/1607695592151?e=1638403200&v=beta&t=w_5Qwuxoq4fWQ5HwxeogaflOWWwulVVCNPAQ0e-GxwA","PARTNERSHIP",,"https://www.altmansolon.com","The world's largest strategy consulting firm focused exclusively on the Telecoms, Media, and Technology (TMT) sectors","465","201","500","3455","In 2020, Altman Vilandrie & Company and Solon Management Consulting have cemented a decades-long partnership across the Atlantic to form Altman Solon, the world’s largest global strategy consulting firm with an exclusive focus on the TMT sector.  Our consultants are united by our passion and intellectual curiosity for the Telecommunications, Media, and Technology (TMT) sectors. These sectors, representing a $5+ trillion global market, are defined by remarkable technological innovations, business model disruptions, rapidly shifting consumer demands, shrinking barriers to entry, and confusing regulatory changes – challenges that Altman Solon is prepared for and eager to address on behalf of our clients.  As trusted advisors to major industry players and leading investors, we have helped to identify, develop, and implement many of the era-defining strategies that have shaped the TMT sector over the last twenty years.  Altman Solon has an extensive international reach with offices in Boston, London, Los Angeles, Mexico City, Milan, Munich, New York, Paris, San Francisco, Singapore, Sydney, Warsaw, and Zurich, with successful projects completed across the globe in more than 100 countries.  Altman Solon Privacy Policy: https://www.altmansolon.com/legal/privacy-policy/","2020","US","Boston","Massachusetts","101 Federal St","28th Floor","02110","Management Consulting","Technology,Management Consulting,TMT,Telecoms,Media,Business Strategy",,"2021-08-30T16:16:30.424Z","2021-08-30T17:24:01.484Z","1c58e77dd1a958232e217fbd989f8dc9"
"altopharmacy","altopharmacy","22337144","5780","https://www.linkedin.com/company/altopharmacy/","Alto Pharmacy","https://media-exp1.licdn.com/dms/image/C560BAQFW3I_xhPLeRQ/company-logo_400_400/0/1628784859627?e=1638403200&v=beta&t=WikvDAXDiglkGLw0OQD4912SVfwqXfXqEBnFW8avUBQ","PRIVATELY_HELD",,"http://alto.com","Alto is a telehealth pharmacy focused on helping people live healthier by making the prescription experience easier.","773","501","1000","12324","Alto is a telehealth pharmacy focused on helping people live healthier by making the prescription experience easier, more supportive, and more affordable. We’re transforming a $500 billion industry by reinventing what a pharmacy can do, for both patients and providers—from hand-delivering medications for free to offering on-call help by text or chat. Over one million deliveries, over a thousand five-star Yelp reviews, and an NPS score of +86 later, we’re proud to say we’ve built a pharmacy that people truly love.","2015","US","San Francisco","California","645 Harrison St","Suite 200","94107","Hospital & Health Care","Fertility,pulmonology,HIV/PrEP,Cardiology,Endocrinology",,"2021-08-30T16:16:30.424Z","2021-08-30T17:24:51.777Z","45983f80f697a603c304fc8810f359fa"
"american-express","american-express","1277","1798","https://www.linkedin.com/company/american-express/","American Express","https://media-exp1.licdn.com/dms/image/C4D0BAQGRhsociEn4gQ/company-logo_400_400/0/1523269243842?e=1638403200&v=beta&t=uaYedWAJXc5JqBVd3B9gpaNTESe5tQwn3bCJc9hGBtw","PUBLIC_COMPANY",,"https://www.americanexpress.com/",,"74255","10001",,"1436639","At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly striving to uphold our powerful backing promise to our customers and each other every day.    These beliefs have been our North Star for 170 years as our business transformed – from helping evacuate travelers during World Wars, to ensuring the safety of our customers’ funds during the Great Depression in the U.S., to creating the Shop Small® movement to help small businesses recover from the Financial Crisis, to providing aid to communities impacted by many natural disasters and so much more.     For generations, the key to our success has been the determination and resilience of our American Express colleagues. Now, as a globally integrated payments company, we work together to provide customers with access to products, insights and world-class experiences that enrich lives and build business success. Join us and let’s lead the way together.    Check out the recent awards we’re proud of:  •	Human Rights Campaign Corporate Equality Index Score of 100% - 2021 •	FORTUNE 100 Best Companies to Work For - 2021 •	FORTUNE 100 Best Companies to Work For - 2020 •	FORTUNE World’s Most Admired Companies - 2020 •	FORTUNE 100 Best Workplaces for Women – 2020 •	FORTUNE 100 Best Workplaces for Diversity - 2019   Learn more about us at:  https://www.americanexpress.com/ https://www.facebook.com/AmericanExpressUS https://www.instagram.com/americanexpress/ https://twitter.com/americanexpress https://www.youtube.com/user/AmericanExpress  See our community guidelines at: https://about.americanexpress.com/Community-Guidelines/  If you have a customer service issue or question, please visit www.americanexpress.com/contactus",,"US","New York","NY","World Financial Center, 200 Vesey Street",,"10285","Financial Services","Financial Services,Business Travel,Corporate Card,Network Services,Merchants Services",,"2021-08-30T16:16:30.424Z","2021-08-30T17:25:31.099Z","0ffd07664a628c77d0b0f122c03c82ef"
"amp","amp","4007","10918","https://www.linkedin.com/company/amp/","AMP","https://media-exp1.licdn.com/dms/image/C560BAQEFqsw1CCTHTA/company-logo_400_400/0/1519856401189?e=1638403200&v=beta&t=Fg2sqrpR-Rt-CAmWfZNhAdiRKIVxnEqUebaZOHNMtuI","PUBLIC_COMPANY",,"http://www.amp.com.au",,"7001","5001","10000","78651","AMP was founded in 1849 on a simple yet bold idea: that with financial security came dignity.  Over the course of our 170-year history, that ethos hasn’t changed, although our business has evolved and will continue to do so into the future.  AMP is a wealth management company with a growing retail banking business and an expanding international investment management business. We provide retail clients with financial advice and superannuation, retirement income, banking and investment products. AMP also provides corporate superannuation products and services for workplace super and self-managed superannuation funds (SMSFs).  For institutional clients we provide investment management services across a range of asset classes, both in Australia and globally.  For information on AMP products and services;  Australia: Visit amp.com.au or call 133 888 within Australia New Zealand: Visit amp.co.nz or call 0800 267 111 within New Zealand For AMP Capital products and services: Visit ampcapital.com.au or call 1800 658 404","1849","AU","Sydney","NSW","33 Alfred Street","Circular Quay","2000","Financial Services","Financial Planning and Advice,Superannuation,Investments,Risk and Insurance Products",,"2021-08-30T16:16:30.424Z","2021-08-30T17:25:36.309Z","4dc3f3b38917875b2ffad6b9c63df4c7"
"ancoris-limited","ancoris-limited","98835","10919","https://www.linkedin.com/company/ancoris-limited/","Ancoris","https://media-exp1.licdn.com/dms/image/C560BAQGHi-MTlVWAZQ/company-logo_400_400/0/1615897438491?e=1638403200&v=beta&t=q9aazRtTgPZ5tq5hrRzSusyLYMGwLAuWj9YAZYls8S0","PRIVATELY_HELD","0345 2626747","https://www.ancoris.com","Google Cloud Premier Partner.","56","51","200","1812","Ancoris is an award-winning Cloud Services Provider helping customers innovate and transform through the use of Google Cloud. We have extensive expertise in Google Cloud technologies, and deliver our magic through Data and AI, as well as modernisation of applications and workspaces.  We are on a journey to becoming the most innovative partner in the Google ecosystem. We celebrate diversity, nurture talent from within and do the right thing for our customers. ","2003","GB","Bracknell","Berkshire","Lily Hill House","Lily Hill Road","RG12  2SJ","Information Technology & Services","Google Maps,Chrome devices,Google Cloud Platform,Custom development,Chrome Enterprise,Custom SaaS,Auto ML,Data Warehouse,Cloud Infrastructure,Google Workspace,Data and Analytics",,"2021-08-30T16:16:30.424Z","2021-08-30T17:26:36.053Z","b93a0b24b0e0fc4cea4ef3152de9b14b"
"andela","andela","5351527","6470","https://www.linkedin.com/company/andela/","Andela","https://media-exp1.licdn.com/dms/image/C4D0BAQG8wUEdi2SVeg/company-logo_400_400/0/1519952128213?e=1638403200&v=beta&t=8u0_O_kREvwbOO-ZAoSo6k0r4-Sgo0q1tcL7222Vmd0","PRIVATELY_HELD",,"https://andela.com","We build remote engineering teams with the world's best talent.","1299","1001","5000","167847","Andela is a global talent network that connects companies with vetted, remote engineers in emerging markets. Hundreds of leading companies like InVision, Cloudflare, and ViacomCBS leverage Andela to scale their engineering teams quickly and cost effectively. A distributed organization spanning four continents, Andela is backed by investors including Generation Investment Management, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures. ","2014","US","New York","NY","129 W 29th St",,"10001","Information Technology & Services","Technology,Software Development,Education",,"2021-08-30T16:16:30.424Z","2021-08-30T17:27:57.553Z","ae773d9b69e14df14d57f58557341344"
"annapurna-recruitment","annapurna-recruitment","735906","10921","https://www.linkedin.com/company/annapurna-recruitment/","Annapurna Recruitment","https://media-exp1.licdn.com/dms/image/C4D0BAQE_95G55NEsJQ/company-logo_400_400/0/1625172698328?e=1638403200&v=beta&t=aF1BzafE3IX49ivHyPiW5Q3YdpFjhk3DU40K9DmisEM","PRIVATELY_HELD","+44 20 3031 2468","http://www.annapurnarecruitment.com","Our aim is to be 'The World's Leading Responsible Search Firm'​.","99","51","200","50148","Annapurna Recruitment aims to continually be the leading edge responsible recruitment company, whose people are passionate about being the best in their field for the benefit of themselves, their clients, candidates and the environment.  Based in London & Munich and focusing on the UK, US, German & Nordic Markets, Annapurna Recruitment was founded by its three partners (Nigel Fox, James Ballard and Charlie Appleyard) with the intention of becoming the 'World's Leading Responsible Search Firm'​  With more than 40 years’ combined experience between the directors, you'll be dealing with a consultancy with an excellent track record.  We are a company that is challenging conventional traditional transactional recruitment in the agency field by the creation and facilitation of world-class thought leadership communities.  Please join The Business Transformation Network at: www.thebtn.tv/join  Why work for us? We are an ambitious business that realises that our core asset is the capability and motivation of our people.  Coming 11th in the 2017 Sunday Times 'Best Small Companies to Work for’ list is testament to our ethos.  We encourage innovative ideas, invest in long-term relationships and actively promote a team environment. With Annapurna Giving we have a unique CSR strategy, which allows us to support a select number of chosen charities in a variety of ways. We have a culture of continuous learning, making your career with us even more successful.  Our in-house training team offers a training program for all stages of development, from Trainee Consultants to Director. Annapurna has a bespoke training room and areas for continuous learning, which is underpinned by existing experienced consultants are willing to help and share knowledge.  Whether you are looking for your next move, or perhaps your next steps into recruitment, Annapurna would like to hear from you. Get in touch with Tia at t.walters@annapurnarecruitment.com","2008","GB","London","England","17 Hatfields","1st Floor, Dominican Court,","SE1 8DJ","Staffing & Recruiting","Recruitment,Permanent and Interim,Compensation and Benefits,HRIS,L&D,HR Business Partner,Reward,HR Manager,Transformation,Programme Managers,Business Change,Human Resources,Executive Search,CIO,Software Developers,IT Directors",,"2021-08-30T16:16:30.424Z","2021-08-30T17:29:19.107Z","f5212038ec8211bcffb4d13f2ee73fa5"
"ansys-inc","ansys-inc","6536","10922","https://www.linkedin.com/company/ansys-inc/","Ansys","https://media-exp1.licdn.com/dms/image/C4D0BAQEqczYRTk3m-g/company-logo_400_400/0/1625183723486?e=1638403200&v=beta&t=HXj9MwR5sfVMZI98yI9-Q1r-sgq_VoMPsF8E2HTTM3s","PUBLIC_COMPANY",,"https://www.ansys.com","Engineering What's Ahead","5099","1001","5000","167291","If you’ve ever seen a rocket launch, flown on an airplane, driven a car, used a computer, touched a mobile device, crossed a bridge or put on wearable technology, chances are you’ve used a product where Ansys software played a critical role in its creation. Ansys is the global leader in engineering simulation enabling next-generation advancements from self-driving cars to electric aircraft to connected cities. We help the world’s most innovative companies deliver radically better products to their customers. By offering the best and broadest portfolio of engineering simulation software, we help them solve the most complex design challenges and create products limited only by imagination.","1970","US","Canonsburg","PA","2600 Ansys Drive",,"15317","Computer Software","Design Optimization,Finite Element Analysis (FEA,FEM),Computational Fluid Dynamics (CFD),Electromagnetics,Explicit Dynamics,Consulting,Grid Generation,Meshing,Multi-body Dynamics,Multiphysics,FSI,Virtual Prototyping,Structural Analysis,Engineering Simulation",,"2021-08-30T16:16:30.424Z","2021-08-30T17:29:25.035Z","4d2738d8e954813b28f380e55ac6ea28"
"apelgårdens-hvb-i-blekinge-ab","apelgårdens-hvb-i-blekinge-ab","33480170","10923","https://www.linkedin.com/company/apelgårdens-hvb-i-blekinge-ab/","APELGÅRDENS HVB I BLEKINGE AB","https://media-exp1.licdn.com/dms/image/C4E0BAQG7aShEXgbmHQ/company-logo_400_400/0/1579696229240?e=1638403200&v=beta&t=EXfe_TaOI8ilE_WOApAJLJvPlj7ZTVHzWsmbPL9X5-w","PUBLIC_COMPANY",,"http://www.apelgarden.com","Respekt, Omtanke och Trygghet!","11","51","200","19","Vi inom Apelgårdens HVB i Blekinge AB har vidareutbildat oss och uppdaterat våra metoder och utbildningar på samtliga enheter. I och med att vi nu gått in i ett nytt (friskare) år vill vi verksamhetschefer med personal på Apelgården, Villa Fridhem, Gårdsjön och Svalan uppdatera er gällande de vidareutbildningar och metoder vi arbetar efter för att skapa en trygg, flexibel och fungerande vård för era familjer/ ungdomar och er. Den grund vi står på är den systemteoretiska och vi arbetar miljöterapeutiskt utifrån varje individ. Vi jobbar nära våra boenden och relationsskapande är A och O. Vi arbetar även lågaffektivt där vi hela tiden går tillbaka till oss själva för att se vad vi kan göra annorlunda om det är så att det vi provat inte fungerar. Krav ställs utifrån den problematik som finns hos de boende.  Samtlig fastanställd personal har utbildning i MI samt i förebyggande hot och våld. Vissa ur personalen har fördjupning i MI samt fördjupning i att integrera MI – KBT- Återfallsprevention. Återfallsprevention Haschavvänjningsprogrammet CPUI (cannabisprogrammet för institutioner) KBT BBIC Signs of Safety COPE Kids Club ACT – acceptance and commitment therapy Barns utveckling - föräldrars förmåga dvs anknytning Trauma och PTSD – Traumamedveten och traumafokuserad behandling. Här ingår även screening. Patriark och Sara Barnsamtal Medberoende enl. 12-steg. Medvetandegöra medberoende hos personal. Färdighetsträning – DBT ESL, Ett Självständigt Liv ART RePulse  Utifrån dessa utbildningar och metoder kan vi utforma en skräddarsydd och flexibel utredning eller behandling.  Kontakta våra verksamhetschefer för att se om just din klient matchar något av våra Hvb  Anneli Stenberg, Svalan.  Barn med föräldrar och gravida kvinnor: 0731-555210 Dzenana Voloder, Gårdsjön. Flickor 14-19 år: 0738-606700 Michaela Danielsson, Apelgården. Pojkar och flickor 13-20 år: 0733-226501 Violeth Jansson, Villa Fridhem. Pojkar och flickor 13-18 år: 0731-555211 ",,"SE","Ronneby",,"Fridhemsvägen 8",,"372 38","Civic & Social Organization",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:31:06.526Z","6c2b3a8d73dacac31099f96b9d4debc5"
"apex-systems","apex-systems","4787","2924","https://www.linkedin.com/company/apex-systems/","Apex Systems","https://media-exp1.licdn.com/dms/image/C4D0BAQGqykCMjtTYfg/company-logo_400_400/0/1625080023443?e=1638403200&v=beta&t=z9GYH3R4dGhYcJudOtvKoTfFFLp3hfDFqu560swFA1I","PUBLIC_COMPANY",,"http://www.apexsystems.com","Value Reimagined ™","10774","1001","5000","706331","Apex Systems is a world class technology services business that incorporates industry insights and experience to deliver solutions that fulfill our clients’ digital visions. We provide a continuum of service from workforce mobilization and modern enterprise solutions to digital innovation to drive better results and bring more value to our clients.  Apex transforms our customers with modern enterprise solutions tailored to the industries we serve. Apex has a presence in over 70 markets across the US, Canada, and Mexico. Apex is a segment of ASGN Inc. (NYSE: ASGN). To learn more, visit www.apexsystems.com. ","1995","US","Glen Allen","VA","4400 Cox Road, Suite 200",,"23060","Information Technology & Services","IT Staffing,Workforce Solutions,Consulting Services,Career Resources",,"2021-08-30T16:16:30.424Z","2021-08-30T17:31:35.852Z","ca8b0c6c19c993c6538f97cd77daa3fb"
"arcus-search","arcus-search","11048173","10924","https://www.linkedin.com/company/arcus-search/","Arcus Search","https://media-exp1.licdn.com/dms/image/C4D0BAQGPAHgOmOAdvg/company-logo_400_400/0/1519921230858?e=1638403200&v=beta&t=TuQbTIcySuBZ1j0cY5fnNvsGX1EDeKgJ5ixIgYP4Xqg","PRIVATELY_HELD","02038 826790","http://www.arcussearch.com","Arcus Search connects the very best talent","12","11","50","5922","Arcus Search connects the very best talent.   Delivering technology, digital & change specialists across industry sectors","2016","GB","London",,"London,",,,"Staffing & Recruiting","Digital,Technology,Transformation,Change Management,I.T.,Contract,Interim,Insurance,Infrastructure,Permanent,Strategy,Data,Architecture,Gaming & Gambling,Digital Media,Retained,Re Insurance,Projects,Programmes,SOW,Partnership",,"2021-08-30T16:16:30.424Z","2021-08-30T17:32:03.273Z","f42c3300cbe9ae823736bd5b87e1e7a3"
"arqgroup","arqgroup","18646062","10925","https://www.linkedin.com/company/arqgroup/","Arq Group","https://media-exp1.licdn.com/dms/image/C560BAQGOnfoR-zSrYg/company-logo_400_400/0/1527493716849?e=1638403200&v=beta&t=49DzaUUAsUeVrlMe7bYJR4cU0dHrS-_SFGK3Ja0VhkY","PUBLIC_COMPANY",,"https://arq.group/","Digital professional services company, with deep expertise in mobile, data and analytics and cloud (delivery & MSP).","352","501","1000","23081","Digital professional services company, with deep expertise in mobile, data and analytics and cloud (delivery & MSP).  At Arq Group, we create unforgettable experiences, solve complex challenges and provides seamless, end-to-end solutions for Australia's leading enterprise businesses and Australian State and Federal departments.  We help enterprise and government have an even bigger impact - we define their digital opportunity, create bespoke products that scale, measure the customer impact and help them stay ahead of the competition. We do this through our innovation and design capabilities and tech enablers like mobile, data and analytics and cloud. And – we are the best in the business!  Our purpose is to make meaningful impact by enriching life with digital experiences your customers love.  Cloud, data and digital expertise under one roof. Gain access to battle-tested expertise from over two and a half decades of innovation-firsts, powered by 571 technical certifications, 59 design awards, and +350 enterprise experts.   Partner with a 100% Australian onshore powerhouse of digital, data and cloud consultancy for everything you need today, and the capabilities for future-proofing your tomorrow.","1996","AU","Sydney","NSW","680 George Street","Arq Group","2000","Information Technology & Services","Design Thinking,Data,Business Intelligence,Marketing Analytics and Optimisation,Business Performance Management,Information Management,Mobile Strategy,UX Design,Android App Development ,iOS App Development,Mobile App Development,Mobile Strategy ,Visual Design,Web Services/ API Development,App Design and Development,Website Design and Development,Pay Per Click,SEO,Content Marketing ,Social Media Marketing,Search Engine Marketing ,Digital Commerce ,Digital Solutions ,Innovation,Continuous Improvement,Cloud,Migrations,Cloud Optimisations,Cloud Managed Services",,"2021-08-30T16:16:30.424Z","2021-08-30T17:32:08.459Z","a2e1cfc645a20729d69fca1160fa6838"
"art-processors","art-processors","6654997","10926","https://www.linkedin.com/company/art-processors/","Art Processors","https://media-exp1.licdn.com/dms/image/C4E0BAQGXteuUwqurLw/company-logo_400_400/0/1579481809167?e=1638403200&v=beta&t=Vj2bMWgmI0eDRnd4UGI8Gkx_9894RvklWr8nUvHlghg","PRIVATELY_HELD",,"http://artprocessors.net","Inventing intuitive visitor experiences that inspire curiosity.","65","51","200","1786","Art Processors is an experiential design consultancy specializing in rich, immersive visitor experiences for museums. Using a thoughtful blend of proprietary technology, digital media, and precision spatial design, we create meaningful, moving encounters for your guests. Or as we like to think of it: We use technology to help people fall more in love with your space.  We create reality-enhancing technology designed to support your experience, not supplant it. Whether it’s a location-aware audio tour, an interactive multimedia companion app, or something we dream up just for you, everything we do is in service of elevating the space—not our product.  Art Processors was born of a desire to connect with art in a deeper way: giving people the ability to absorb meanings and messages, to further interrogate artworks, and to enhance the emotional response, all without detracting or distracting from the pieces. That's why our primary technical focus is always on consistency and reliability of performance, so that our work never takes away from someone else’s aesthetic experience.  The enhancement of the emotional connection between a visitor and establishment as obtained at our flagship museum MONA has proven key to the ethos of Art Processors. We have achieved similar results providing tightly integrated experiences that enhance brand awareness and levels of visitor participation and enjoyment for clients including the Melbourne Zoo (i, Animal), State Library of New South Wales, Museum Victoria (WW1 Centenary exhibition), Australian War Memorial, Freer | Sackler and others.  Can we create something together?","2011","AU","Collingwood","VIC","17 Bedford St",,"3066","Information Technology & Services","Augmented Reality,Experience Design,Indoor Location,Visitor Experience,Spatial Audio Tours,Content Delivery,Mobile Guides,Bluetooth Beacons,Exhibition design,Content creation,Virtual reality,Immersive sound design,Immersive experience",,"2021-08-30T16:16:30.424Z","2021-08-30T17:32:59.252Z","2b91f2cf845172e91956f0e25cb0d528"
"attra","attra","112082","10927","https://www.linkedin.com/company/attra/","Attra","https://media-exp1.licdn.com/dms/image/C4D0BAQHaAQycepg42g/company-logo_400_400/0/1625115855004?e=1638403200&v=beta&t=6PzQd3KtutfyfpTU-YqOJJESH9FaI3gwKfiwziCZPrM","PRIVATELY_HELD",,"http://www.attra.com/","We Make Payments Happen! ","2013","1001","5000","20178","What sets Attra apart? It’s our desire to go beyond the norm, a hunger to keep up with emerging fintech, and the fact that we are niche specialists with over 25 years of experience in the payments domain. We have provided technology services and solutions to some of the world’s largest banks and financial institutions, with several long-term engagements spanning years.  We offer consulting, application management, and quality engineering services, with a focus on 4 industry verticals and 5 technology horizontals. We also have 4 centers of excellence for quality engineering, transformation, mainframes, and performance & security. In Attra Labs, our engineers design and develop innovative prototypes and accelerators using next-generation technologies. Established in 1995, as a high-end consulting firm in Australia, Attra has grown into a global technology services provider with a presence on 4 continents and customers in 24 countries. We have sales, marketing, and development centers in key cities around the world and over 2,000 experts that make up our current employee base.  In December 2020, Attra became a part of Synechron, a leading digital transformation consulting firm for the financial services industry. This joining of forces has increased our combined talent pool to over 10,000 team members, while further extending our global reach. It has also enabled us to expand our digital, consulting, and technology capabilities, from payments to wholesale banking, wealth management, and insurance. Ensuring quality in whatever we do is our mission. We have now upgraded our Quality Management System (QMS) in compliance with the ISO 9001:2015 standard and the CMMI V2.0 Level 5 for Development and Services models. We are also enterprise-wide PCI DSS certified.  Our ability to keep pace with constant change in the payments industry, reflects in our capacity to meet growing business needs with an expanding portfolio of services. We are Attra. And we make payments happen.  ","1995","AU","Box Hill","Victoria","990 Whitehorse Rd","Level 4, Suite 4","3128","Information Technology & Services","Consulting,Insurance,Consumer Finance,Cards & Payments,Loans & Mortgages,Fraud & Risk,Switching,Core Banking,Mobile Payments,EMV,BI & Data Warehouse,VisionPLUS, VisionPLUS Flex, AccessPLUS,FirstVision,PRIME,Cadencie,CardLink,Base2000,PowerCard,Postilion,Base24,T24,Way4,PSD2,GDPR,TS2,RPA,Banking,Loyalty Cards,Digital Payments,Systems Intergrator,ATM,DevOps,Testing,Automation,PaymentEcosystems,Migration",,"2021-08-30T16:16:30.424Z","2021-08-30T17:33:03.819Z","2b5e0757c0fbb64779fcb29f1eaa5150"
"autoanything","autoanything","35746","10928","https://www.linkedin.com/company/autoanything/","AutoAnything","https://media-exp1.licdn.com/dms/image/C560BAQH2EjnqBxoIXQ/company-logo_400_400/0/1519856487058?e=1638403200&v=beta&t=bkjrjk1kUnjnj14fyit_RxAc1uuoBPeMFScUACXd6JM","PUBLIC_COMPANY",,"http://www.autoanything.com","One of America's largest and fastest growing online retailers of specialized automotive products!","103","51","200","4613","Located in San Diego, California, AutoAnything, Inc. is one of the largest aftermarket automotive accessories retailers in the United States. Private equity backed, the company’s vision is to provide the best products and service in the industry. We foster and maintain a great entrepreneurial culture.  Our success can be directly attributed to the dedication, passion and creativity of our team. ","1979","US","San Diego","CA","6602 Convoy Court Suite 200",,"92111","Automotive","Automotive,Car Performance,Truck Performance,Automotive Aftermarket",,"2021-08-30T16:16:30.424Z","2021-08-30T17:33:26.304Z","f7f32d927b907715cd909b60edf9450b"
"averity","averity","5191635","10929","https://www.linkedin.com/company/averity/","Averity","https://media-exp1.licdn.com/dms/image/C4E0BAQGamq-8hsCt-A/company-logo_400_400/0/1519880413718?e=1638403200&v=beta&t=C7CpUkVd-TxhfvhUAfAjx75kW0iMaHXgBeie2OIgZKI","PRIVATELY_HELD","(646) 519-2665","http://www.averityteam.com","We are the technology recruiting firm in New York City // GO/Python, Data Science, Data Engineering, DevOps & Security.","21","11","50","50166","People hire people. Looking for a new job or trying to hire that critical person isn't fun. Finding the best opportunity and hiring the right person is more than an application and a resume. The hiring and interviewing process can be time consuming and tolling, which requires a trusted source to aid in communication, screening, preparation, scheduling, and feedback.   Averity is a team-based technology recruiting firm in New York City. Our strength and difference is that our teams are specialized in niche markets only in New York. Our niches include OpenSource and Web Engineering; Data Science; and DevOps, SysOps and Infrastructure. Our philosophy is: Find something you're good at, and do it better than anyone else.  Averity's difference is simple: We provide an unparalleled experience for everyone we interact with. We believe in a culture of world-class service. We take pride in our integrity in the recruiting industry. This is not a boiler room and there are no cubes.    Please read our reviews on Glassdoor, Google and Yelp.  Averity began out of the desire to create a different recruitment firm in New York City that not only provides the highest level of service to its clients and candidates, but also creates a positive team-oriented work environment where together everyone achieves more. The success is based heavily on the production of the team, not just the individual, creating a culture based on core values of Communication, Ethics, Innovation, Positive-Energy and Delivery.   There is a gap in connecting top tier talent within the Information Technology and Engineering sectors. As these industries continue to grow, the demand for a sophisticated web presence, monetization of data through business intelligence and a realizable return on online advertising will continue to increase. Averity will aim to fill a void left by other permanent placement and contract-staffing agencies.","2014","US","New York","NY","383 5th Ave","6th Floor","10016","Staffing & Recruiting","IT Staffing,DevOps,Recruiting,Full time placement,Contract staffing,Drupal,PHP,LAMP,Full Stack,Data Science,Web Engineering,SysOps",,"2021-08-30T16:16:30.424Z","2021-08-30T17:34:22.210Z","faff9af965f9c40a64cd95baf4917af1"
