id,public_id,company_id,lh_id,profile_url,name,logo,type,phone,website,tagline,staff_count,staff_count_range_start,staff_count_range_end,follower_count,description,founded_on,headquarter_country,headquarter_city,headquarter_geographic_area,headquarter_line1,headquarter_line2,headquarter_postal_code,industries,specialities,tags,add_to_target_date,result_created_at, a2ad97e0007af4fd4c264b510ff816acb
"dbt-instem","dbt-instem","35467715","10978","https://www.linkedin.com/company/dbt-instem/","Institute for Stem Cell Science and Regenerative Medicine (DBT-inStem)","https://media-exp1.licdn.com/dms/image/C4E0BAQEHkbvYNPfLAA/company-logo_400_400/0/1543834457437?e=1638403200&v=beta&t=c-ubDpDvgd5PnQCMT43K4UoCFCLTYGpc1fqGqG03_4I","EDUCATIONAL",,"https://www.instem.res.in","Theme-based interdisciplinary research that addresses major questions in human science.","88","51","200","20543","Research at DBT-inStem addresses the genetic mechanisms of potency, differentiation and proliferation in human pluripotent cells, examines clinical manifestations of diseases that can potentially be treated by stem cells, models human diseases using stem cells, uses model organisms such as Planaria and Hydra to address fundamental questions in regenerative biology, develops platforms to interrogate signaling pathways with new chemical entities, and finally, develops tools that will help to better understand the biology driving stem cells and eventually treat disease states. At DBT-inStem, research is primarily carried out by groups who work on tightly-knit themes, crossing boundaries and developing new approaches to address questions larger than the expertise of individual researchers.","2009","IN","Bangalore","Karnataka","GKVK - Post","Bellary Road","560065","Research","Brain Development and Repair,Cardiovascular Biology,Cardiovascular Diseases,Chemical Biology,Therapeutics,Cell Fate Regulation,Infllamation,Tissue Homeostasis,Technologies for Advancement of Science,Stem Cell,Brain Disorders,Mental Health,Disease Biology,Neurosciences,Biochemistry,Biophysics,Genetics,Structural Biology,Clinical Sciences,Computational Biology,Cardiomyopathy",,"2021-08-30T16:16:30.424Z","2021-08-31T17:43:02.383Z","ef3e6d786e425dea2064e9c25547533d"
"dbtlabs","dbtlabs","10893210","10979","https://www.linkedin.com/company/dbtlabs/","dbt Labs","https://media-exp1.licdn.com/dms/image/C560BAQGYxjMn8Ejunw/company-logo_400_400/0/1625059450614?e=1638403200&v=beta&t=wPLcB5PdRTAiZ1FNug9CWIuC6_D2HNm5qJ1LLiSDWQA","PRIVATELY_HELD",,"https://www.getdbt.com/dbt-labs/about-us/","The creators and maintainers of dbt","131","51","200","5753","dbt Labs is on a mission to help analysts create and disseminate organizational knowledge. Since pioneering the practice of analytics engineering through the creation of dbt—the open source data transformation tool made for anyone that knows SQL—we've been fortunate to watch more than 5,000 companies use dbt to build faster and more reliable analytics workflows.  dbt Labs also supports more than 1,000 customers using dbt Cloud, the centralized development experience for analysts and engineers alike to safely deploy, monitor, and investigate that code—all in one web-based UI.","2016","US","Philadelphia","PA",,,,"Computer Software","Analytics,Data Science,Data Engineering",,"2021-08-30T16:16:30.424Z","2021-08-31T17:44:06.932Z","4f7b1d995d84ef21d19b5337a6ace27b"
"deel","deel","18922914","10980","https://www.linkedin.com/company/deel/","Deel","https://media-exp1.licdn.com/dms/image/C4D0BAQE0aloYegEXDQ/company-logo_400_400/0/1614017281460?e=1638403200&v=beta&t=mIxcQxiypnpgAPormm1Qo-sTnD_f8nJzHpCpdwRwBgE","PRIVATELY_HELD",,"https://www.letsdeel.com/","Deel helps businesses hire anyone, anywhere. It's global payroll for employees and contractors from around the world.","266","51","200","17050","Deel is a global payroll solution which helps businesses hire anyone, anywhere. Using a tech enabled self serve process, you can now hire independent contractors or full time employees in over 150 countries, compliantly and in minutes. Today, Deel serves 3,000+ customers from SMBs to publicly traded companies.","2018","US","San Francisco","California","995 Market St",,"94103","Financial Services","Payment Services,independent contractors,remote hiring,remote work,financial service,business,EOR,Payroll",,"2021-08-30T16:16:30.424Z","2021-08-31T17:45:01.512Z","e3183b5db4e67b7fb60964e8150645c2"
"degreed","degreed","2527975","10434","https://www.linkedin.com/company/degreed/","Degreed","https://media-exp1.licdn.com/dms/image/C560BAQFjJK6SrK9IMQ/company-logo_400_400/0/1588603839134?e=1638403200&v=beta&t=OvexS27xbPoTw8i2beTElrYmwr862bw4TJd8zPlCQK4","PRIVATELY_HELD","800-311-7061","http://degreed.com","The upskilling platform that connects learning to opportunities.","650","201","500","32628","Degreed is the upskilling platform that connects learning to opportunities. We integrate everything people use to learn and build their careers — skill insights, LMSs, courses, videos, articles and projects — and match everyone to growth opportunities that fit their unique skills, roles, and goals. To learn even more, head over to http://degreed.com","2012","US","Pleasanton","California","4305 Hacienda Drive, Suite 300  ",,"94588","Information Technology & Services","Education,edtech,Credentials,Social Recruiting,Education Technology",,"2021-08-30T16:16:30.424Z","2021-08-31T17:45:33.445Z","cd5591608cd9bc2aac4245293aadafa2"
"deptagency","deptagency","10643678","10981","https://www.linkedin.com/company/deptagency/","Dept Agency","https://media-exp1.licdn.com/dms/image/C560BAQFPkutx67hK8Q/company-logo_400_400/0/1541773846236?e=1638403200&v=beta&t=LtqRHRsPQY8MlbF61IRk0QL5fvVbvFSF7aE39GKZSvc","PRIVATELY_HELD",,"http://www.deptagency.com",,"2170","1001","5000","33523","Hi, we are Dept - an international digital agency with over 1,500 experienced thinkers & makers in 13 countries across Europe and the Americas. One agency uniting creativity, technology, and data. Helping our clients reinvent & accelerate their digital reality by creating experiences that people want and businesses need.",,"NL","Amsterdam","North-Holland","Generaal Vetterstraat 66",,"1059 BW","Internet","Advertising,Digital,Digital Marketing,Technology,Strategy,Data,Content,Design,Digital Craftmanship,Campaigns,Social,LinkedIn Marketing,Data Driven Marketing,B2B Marketing,Digital Agency,Creativity,Brand,Intelligence,Organisation,UX,Agency",,"2021-08-30T16:16:30.424Z","2021-08-31T17:46:02.787Z","ac0804576706ce48f007ebbc44737e26"
"der-steg-ggmbh","der-steg-ggmbh","34645402","10982","https://www.linkedin.com/company/der-steg-ggmbh/","DER STEG gGmbH","https://media-exp1.licdn.com/dms/image/C4D0BAQH5dMeLNHsK-Q/company-logo_400_400/0/1575888411908?e=1638403200&v=beta&t=RcKmg9P8FRNFRSTCycSDD-n5hEkNDcGQ3jt0xJfCofM","NON_PROFIT","030 498 57 69 72","http://www.dersteg.de","Wir suchen lebensfrohe und wissbegierige Mitarbeiter*innen für unsere Arbeit mit psychisch erkrankten Menschen.","20","51","200","52","Der Steg ist ein gemeinnütziges Unternehmen, das Kinder, Jugendliche und erwachsene Menschen mit psychischen Beeinträchtigungen bei der Verwirklichung eines selbstbestimmten Lebens unterstützt.   Das Angebot reicht vom Therapeutischen und Betreuten Wohnen über Ambulante Hilfe bis zu sozialpädagogischer schulischer Förderung, von der Tagesbeschäftigung im Handwerklichen, in Gastronomie und Einzelhandel bis zur Autismus-Spektrums-Therapie.   Die Breite der Angebote spiegelt sich in der Vielfalt unserer Professionen wieder. Für unsere Teams suchen wir weitere tatkräftige, lebensfrohe und wissbegierige Mitarbeiter*innen, die Lust haben mit uns im breiten Spektrum der sozialen Arbeit für psychisch beeinträchtigte Menschen sinnvolle und qualitativ hochwertige Arbeit zu leisten.","1983","DE","Berlin","Berlin","Alt-Reinickendorf 29",,"13407","Individual & Family Services",,,"2021-08-30T16:16:30.424Z","2021-08-31T17:47:08.618Z","3fb14309cda0a73de7961904bd06a12a"
"dialpad","dialpad","3967399","10983","https://www.linkedin.com/company/dialpad/","Dialpad","https://media-exp1.licdn.com/dms/image/C4D0BAQHO39Sec1oJGw/company-logo_400_400/0/1626178850210?e=1638403200&v=beta&t=frJgJfGCg8cnXKDdBEJLmoEofWS3c5lG49UpKcyP-30","PRIVATELY_HELD",,"https://www.dialpad.com","The only AI-driven, cloud-native business communications platform. #MakeSmarterCalls #WorkFromAnywhere","840","501","1000","37857","Dialpad is a cloud-based business phone system that turns conversations into opportunities and helps global teams make smarter calls--anywhere, anytime. We bring simplicity to the professional phone experience and some of the world’s most innovative companies use our platform. Dialpad's products span video meetings, cloud call centers, sales coaching and dialers and enterprise phone systems--and are all infused with the latest AI technologies to help every business make smarter calls. Customers include WeWork, Uber, Motorola Solutions, Domo and Xero. Investors include Amasia, Andreessen Horowitz, Felicis Ventures, GV, ICONIQ Capital, Salesforce Ventures, Scale Venture Partners, Section 32, Softbank and Work-Bench.","2011","US","San Francisco","California","100 California St","Fifth Floor","94111","Telecommunications","Communications,Telecom,Business Services,Telephony",,"2021-08-30T16:16:30.424Z","2021-08-31T17:47:18.360Z","be75359d14d95fa7535a36ee7129b144"
"dice","dice","6849","10984","https://www.linkedin.com/company/dice/","Dice","https://media-exp1.licdn.com/dms/image/C560BAQEYK67Tel_mng/company-logo_400_400/0/1624162747433?e=1638403200&v=beta&t=TX5Oy7nW-0bHsWQme11pJBa0BHTelSXkpTrDUwtokU4","PUBLIC_COMPANY",,"http://www.dice.com",,"345","1001","5000","42414","Dice is the top recruitment engine for connecting the best tech talent with job opportunities around the world. For professionals in technology-from software engineers to project managers and mobile developers-we surface opportunities and ignite careers. For employers, we facilitate connections with tech professionals by combining a rich database of resumes with our social recruiting tool Open Web, which uncovers passive candidates, accelerates your hiring, and delivers the best talent to organizations. We deliver talent faster than anybody else, with award-wining support, enabling the connections that help technology power the world.","1990","US","Centennial","Colorado","6465 South Greenwood Plaza Boulevard","Suite 400 ","80111","Internet","Recruitment,Hiring,Technical Recruiting,Social Recruiting,Technology and engineering recruitment solutions,Employment,Job search,Postings,Resume Search,Open Web,Talent Pipeline Management,Career Management,Sourcing",,"2021-08-30T16:16:30.424Z","2021-08-31T17:48:42.463Z","fcab18bf47398fdc2265d2db0b4fc468"
"diverselynx","diverselynx","90396","10985","https://www.linkedin.com/company/diverselynx/","Diverse Lynx","https://media-exp1.licdn.com/dms/image/C4E0BAQGk4XHA-0aydA/company-logo_400_400/0/1553721179130?e=1638403200&v=beta&t=W0n8MJH7gfJ6-l6dnsOCrQTEZUcd8BWgeswIeXF9CGU","PRIVATELY_HELD","7324521006","http://www.diverselynx.com","Where IT makes a difference","539","1001","5000","23819","We are a WBENC and NMSDC certified company helping our clients in their Diversity spending on Staffing or Contingent Workforce Services. Established in 2002 and headquartered out of Princeton-NJ, our 2000+ associates’ strength globally helps clients with talent across Technology, Healthcare, Life Sciences, Aerospace, Automotive, Energy, Pharmaceuticals, Retail, Telecom, Manufacturing and Engineering domains. Our presence in USA, Canada & India helps us support clients in IT, Non-IT, Healthcare, Hospital and Clinical hiring, across the globe.  ","2002","US","Princeton","New Jersey","300 Alexander Park Dr ","Suite # 200","08540","Computer Software","Technology,IT Staffing,Consulting Services,Insurance,Application Development,IT Projects,Mobile Application,Banking and Financial Services,Travel and Hospitality,Legacy Modernization,ODC,Hospitals",,"2021-08-30T16:16:30.424Z","2021-08-31T17:50:12.284Z","8feedeeae810caa9bfe95eddcdaf4374"
"dopple","dopple","18028748","10986","https://www.linkedin.com/company/dopple/","Dopple","https://media-exp1.licdn.com/dms/image/C560BAQEOK15JDJHp9A/company-logo_400_400/0/1592934078983?e=1638403200&v=beta&t=EDu6kPHNsCT38RoCLCDOKoPEnzke1oQnhP7IRyzEU0w","PRIVATELY_HELD",,"http://www.thedopple.com","Kid's retail, reimagined","29","11","50","3768","Dopple is reimagining kids’ retail, creating the most joyful shopping experience for parents! We are the premier children's clothing subscription service, offering the world's coolest kids styles in a convenient try-on-at-home model. Parents simply tell Dopple what they want and need via a short quiz and Dopple does the rest, curating a unique “Drop” of the coolest kids’ clothing and accessories selected for each customer’s budget, style and size.   Our team is passionate about leveraging data, customer feedback and our incredible selection of the world’s best childrenswear brands to curate and deliver personalized styles at amazing prices. We are a close-knit team of hardworking, creative builders and problem solvers in New York, NY; North Bergen, New Jersey; San Francisco, CA and distributed around the world.   We’re supported by some of the top consumer technology investors including Bullpen Capital, Precursor Ventures, and Goodwater Capital.    We are an equal opportunity employer that celebrates diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by federal, state, or local laws.","2017","US","New York","NY",,,"11201","Apparel & Fashion",,,"2021-08-30T16:16:30.424Z","2021-08-31T17:50:51.174Z","f29a86f42bbabb22a4f8e8aa2168e3b4"
"dr-squatch-soap-co-","dr-squatch-soap-co-","3823786","8975","https://www.linkedin.com/company/dr-squatch-soap-co-/","Dr. Squatch","https://media-exp1.licdn.com/dms/image/C560BAQGzJh5hJbRtFQ/company-logo_400_400/0/1617037920463?e=1638403200&v=beta&t=MhM8g54ddRTBzI-0lVeR6tPCSpM56SFgPZPULeg5M2I","PRIVATELY_HELD",,"https://drsquatch.com","Get Dirty, Stay Clean with Dr. Squatch natural personal care.","128","51","200","21765","Dr. Squatch is raising the bar on personal care with our handmade bar soaps and high quality natural products.    We're hiring - join our team in Los Angeles.  See the video with over 100 Million Views! http://drsquatch.com","2013","US","Marina del Rey","California","4065 Glencoe Ave",,"90292","Consumer Goods",,,"2021-08-30T16:16:30.424Z","2021-08-31T17:52:08.936Z","ca85d969ddfcf0e34896aa514810bd3c"
"druva","druva","960262","10083","https://www.linkedin.com/company/druva/","Druva","https://media-exp1.licdn.com/dms/image/C4D0BAQEVLtl6QNYwxg/company-logo_400_400/0/1625594423293?e=1638403200&v=beta&t=N4OQlasFOv4gMpCDwncA_ia_USQGJo1rD07tJvx7sJE","PRIVATELY_HELD",,"http://www.druva.com","Data protection for the cloud era. ","987","501","1000","49119","Druva is the global leader in Cloud Data Protection and Management, delivering the industry’s first data management-as-a-service solution.  Follow us to gain insights how Druva’s Cloud Data Protection solution dramatically increases the visibility of business critical information, while reducing the risk and cost of managing and protecting it.  Learn from Cloud Data Protection experts on topics including Cloud Based DR for VMware, SaaS Data Protection for vSphere, VMware Cloud on AWS, Data Center Cloud Backup, Disaster Recovery, Webinars and Customer Stories.  Druva Cloud Platform is built on AWS and offered as-a-Service; delivering globally accessible, infinitely scalable and completely autonomous enterprise data resiliency. Customers drive down costs by up to 50% by freeing themselves from the burden of unnecessary hardware, capacity planning, and software management.  Want to innovate with us? Learn more at druva.com/about/careers","2008","US","Sunnyvale","California","800 W California Ave.","Suite 100","94086","Computer Software","Data Management,Enterprise Endpoint Backup,Data Loss Prevention (DLP),Secure File Sharing,Endpoint Data Governance,Cloud Server Backup and Archiving,server backup,cloud computing,AWS,disaster recovery,data protection,data insights",,"2021-08-30T16:16:30.424Z","2021-08-31T17:52:41.359Z","c6fcf4e43844809261ab5df4c9a4b0ba"
"dynasticx-llc","dynasticx-llc","71715864","10987","https://www.linkedin.com/company/dynasticx-llc/","Dynasticx LLC","https://media-exp1.licdn.com/dms/image/C4D0BAQGH8ixt_TvYCQ/company-logo_400_400/0/1617235372248?e=1638403200&v=beta&t=1jYq4tkMVLfZ1_sdDo-AeoOCyFrfeJ4DABGa1pHA4n0","SELF_OWNED",,,"IT Consulting Services","3","11","50","1576",,,,,,,,,"Staffing & Recruiting",,,"2021-08-30T16:16:30.424Z","2021-08-31T17:53:29.657Z","a5c3df48eeeb012e5cf4611c2b0d87db"
"e-solutions-inc","e-solutions-inc","750072","10988","https://www.linkedin.com/company/e-solutions-inc/","E-Solutions","https://media-exp1.licdn.com/dms/image/C4E0BAQEwaw5QTCQl_A/company-logo_400_400/0/1625251621307?e=1638403200&v=beta&t=b_QKXhpX4D36KwfgR1F0-OZn4uYHEFnOvA5up-7Dcfk","PRIVATELY_HELD","+1-408-289-8200","http://www.e-solutionsinc.com","Empowering Technology Services.   ","1092","1001","5000","45614","""Empowering Technology Services”  Founded in 2003, we are in our 19th year of structured growth. We are a talent-driven, talent acquisition company providing individual consultants, project teams, and strategic outsourcing services to clients in a wide range of industries.   E-Solutions, Inc. is a certified minority-owned staffing firm spearheaded by industry experts. We offer award-winning solutions for the Global Talent Cloud. Our services include: •	Staff Augmentation •	IT Outsourcing •	Business Process Outsourcing    We leverage our recruiting expertise to deliver high-end consulting services for a variety of engagements. E-Solutions, Inc. has developed a business structure with no boundaries, which means we work as one collective entity.  Our MSP partners and end customers have recognized our commitment to a partnering supplier model enabling us to expand to our present feat: •	8 Nations – 32 Operational Centers •	1800+ Workforce •	Revenue ~$100+ Million •	Top 10 vendor for $10 Billion System Integrator  Our clients extend from Fortune 500s to IT Companies, and we're experts at finding the right combination of solutions & solutions to fit any company's unique environment.  We place professionals in contract, contract-to-hire, permanent hire, and statement-of-work-based positions with industry forerunners and innovative start-ups.  We partner with talent ranging from IT professionals to engineering to skilled trades and many more. Our vast experience has provided us with a depth of knowledge that spans across industries and technologies.   The following are the industry verticals, which we serve:- •	BFSI •	ITES •	Healthcare •	Energy & Utilities •	Light Engineering •	Manufacturing •	Warehouse & Logistics •	Administrative & Support Services   Disclaimer E-Solutions Inc. Provides Equal Employment Opportunities (EEO) To All Employees And Applicants For Employment Without Regard To Race, Color, Religion,","2003","US","San Jose","California","2 North Market Street Suite #400 San Jose, California 95113","2 North Market Street Suite","95113","Staffing & Recruiting","Staffing,IT Staffing,Web & Application Development,ITIS / ITSM,Accounting and Finance staffing,Global Payroll,Curated Talent Cloud,Light Industry Staffing,BFSI Staffing,Contingent Staffing,Business Process Services ,Healthcare Staffing,Medical Staffing,Retail & Logistics Staffing",,"2021-08-30T16:16:30.424Z","2021-08-31T17:54:49.175Z","458ae9db04202b576a68ebbb389e895e"
"e15-group","e15-group","16161462","10989","https://www.linkedin.com/company/e15-group/","E15 Group","https://media-exp1.licdn.com/dms/image/C560BAQG02NtI9CJX3A/company-logo_400_400/0/1519867635182?e=1638403200&v=beta&t=qareVnzmwGpibw64V0R0JexDixq4xNi-GYNXfnBL8IY","PRIVATELY_HELD",,"http://e15group.com","Driving strategy & performance via analytics in sports, entertainment, hospitality, technology, education & healthcare.","65","51","200","1192","E15 delivers next-generation insights based on data, not hunches. Our team brings unmatched industry intelligence and cutting edge analytics to professional & collegiate sports, entertainment, education, healthcare, hospitality, and retail to help companies make forward-looking decisions to benefit their business and customers.","2014","US","Chicago","Illinois","980 N. Michigan Avenue",,"60611","Research","Data Science,Machine Learning,Business Analytics,Consumer Insights,Emerging Technology,Data Services",,"2021-08-30T16:16:30.424Z","2021-08-31T17:55:36.531Z","186b3aaa1b56ea8efeffba3ffc132431"
"eatingdisorderspecialists","eatingdisorderspecialists","2955149","10990","https://www.linkedin.com/company/eatingdisorderspecialists/","Eating Disorder Recovery Specialists","https://media-exp1.licdn.com/dms/image/C4D0BAQGua8__vuCphA/company-logo_400_400/0/1568391030325?e=1638403200&v=beta&t=gnufxpMPN1QJpWT6431iEoiRh03T10uT3QV9jUUC8VU","PRIVATELY_HELD","866-525-2766","http://www.eatingdisorderspecialists.com","Eating Disorder Recovery Specialists is a nationwide in-home meal support & eating disorder recovery program","67","51","200","978","Eating Disorder Recovery Specialists (EDRS) is a pioneering in-home eating disorder recovery support program. Serving individuals nationwide, our experienced ED Recovery Specialists come directly to you or your family member to provide structured & individualized recovery support. We work with clients of all ages and diagnoses, as our clinically trained staff have experience across a spectrum of therapeutic modalities. Our team personalizes your recovery support plan based on your struggles and hopes for your recovery. We provide a number of services including meal support therapy, recovery accountability and check-ins, and comprehensive coordination with your outpatient team. ","2012","US","New York","NY","459 Columbus Ave","Suite 124","10024","Mental Health Care","Mental Health,Nutrirtion,Eating Disorders,Psychotherapy,Coaching,Addiction Recovery,Life Transitions,Young Adult,Recovery Management,Meal Support,Meal Support Therapy,Eating Disorder Recovery",,"2021-08-30T16:16:30.424Z","2021-08-31T17:55:44.765Z","ad846f6ff2405e305b9d4a5210ca9c90"
"ebury","ebury","963919","10991","https://www.linkedin.com/company/ebury/","Ebury","https://media-exp1.licdn.com/dms/image/C560BAQEEJWFqRPggOA/company-logo_400_400/0/1625139317825?e=1638403200&v=beta&t=-_ItDsCuC6S2qWdj-PCTtoOMhTq5mS4FCe1OzjUpHFM","PRIVATELY_HELD","02038726670","http://www.ebury.com","Financial solutions to simplify international trade ","1160","1001","5000","30820","Ebury is a financial services company, specialising in international cash management solutions including cross-border payments, FX risk management, and business lending.   Our unique product offering helps businesses to accelerate and simplify international finance. We provide expertise and excellent customer service, usually reserved for the bank’s biggest customers, with our innovative technology and unrivaled capabilities.   Our mission is to make international finance simple and accessible to all businesses. Whether you’re an international trader, an NGO, an e-commerce platform or a small business owner, our solutions are designed to create a seamless international finance process. Thousands of companies around the globe are trading faster and smarter by using Ebury’s services.    We work with over 49,000 businesses and organisations across Europe, Canada, Australia, UAE and Hong Kong providing them with greater and faster access to finance while helping them to manage currency risk and strategically plan their approach to overseas payments.   Ebury has traded $23bn in foreign exchange over the past 12 months. From 26 offices across 4 continents, Ebury can process transactions in more than 130 currencies – quickly and easily.   Regulated as an Electronic Money Institution by the Financial Conduct Authority and backed by the most respected investors in new technologies, Ebury is a trusted partner to clients worldwide.   Ebury is a member of TechCityUK’s FutureFifty 2017 and the Deloitte UK Technology Fast 50 2017, which recognises the fastest growing UK based tech companies.","2009","GB","London","London","100 Victoria Street",,"SW1E 5JL","Financial Services","risk management,Currency Exchange,International Payments,Unlocking Working Capital,Treasury Management,Fund Distribution,Import Lending",,"2021-08-30T16:16:30.424Z","2021-08-31T17:55:58.586Z","fc3f529338bef23b9169a75417cdeefa"
"ef-education-first","ef-education-first","4856","10992","https://www.linkedin.com/company/ef-education-first/","EF Education First","https://media-exp1.licdn.com/dms/image/C510BAQGrCP6CXBbjAA/company-logo_400_400/0/1571879615985?e=1638403200&v=beta&t=ovaqoyV7XFgvjnbk5h146Kb2koCjpE0FyYrVffnAN40","PRIVATELY_HELD",,"https://www.ef.com/","Opening the world through education.","24422","10001",,"349970","At EF we believe the world is better when people try to understand one another.   Since 1965, we have helped millions of people see new places, experience new cultures, and learn new things about the world and about themselves. Our culturally immersive education programs—focused on language, travel, cultural exchange, and academics—turn dreams into international opportunities.  When you join EF, you join a multicultural and diverse community working across 600 schools and offices in 50 countries, all with one shared mission of opening the world through education. Whoever you are, whatever you are passionate about—we welcome you and want you to bring that to work every day. EF is proud to be an equal opportunity employer and we are committed to inclusion and belonging across race, ethnicity, gender identity/expression, sexual orientation, age, religion, ability, parental status, experience and everything else that makes you unique.","1965","CH","Lucerne",,"Haldenstrasse 4",,"6006","Education Management","Tech,Education,edtech,Design,research,travel,international education,online education,university placement,tours,educational travel,language,cultural immersion,english language learning,study abroad,group travel,cultural exchange,experiential learning",,"2021-08-30T16:16:30.424Z","2021-08-31T17:56:46.464Z","5b52e7b113876268076e236663c8bb78"
"electric-ai","electric-ai","15212511","10993","https://www.linkedin.com/company/electric-ai/","Electric","https://media-exp1.licdn.com/dms/image/C4D0BAQHUpQAfFPEE4Q/company-logo_400_400/0/1625165851355?e=1638403200&v=beta&t=k4K5NXoAh6iW3LgtO4RNGi0gzGLiFaD1g-hdud2DOE0","PRIVATELY_HELD","16467791607","http://www.electric.ai","IT powers remote work. Electric powers IT. ","486","51","200","6415","We're on a mission to revolutionize IT by making it simple, effortless, & lightning-fast for businesses everywhere.  Through a first of its kind technology, paired with an elite squadron of IT technicians, Electric delivers lightning-fast IT support. Whether you're remote or onsite, Electric provides real-time issue resolution, security at the device, app and network levels, employee onboarding/offboarding and IT management.  Founded in New York City in 2016, Electric is a Series B startup backed by GGV Capital, Bessemer Venture Partners, Primary Venture Partners, 01 Advisors, and Bowery Capital.","2016","US","New York","NY","408 Broadway","5th Floor","10013","Information Technology & Services","Artificial Intelligence,Information Technology,IT Services,Startup,Small Business,Machine Learning,IT support,SMBs,Customer Support,Managed IT Services,IT Consulting,Employee Offboarding,Employee Onboarding,Mobile Device Management,G Suite,Office 365,Windows,Apple,JAMF,Kaseya",,"2021-08-30T16:16:30.424Z","2021-08-31T17:57:59.300Z","d133f9086727389e8f1dd26ee1c9ecdc"
"elevate-labs-llc","elevate-labs-llc","6626130","10994","https://www.linkedin.com/company/elevate-labs-llc/","Elevate Labs","https://media-exp1.licdn.com/dms/image/C560BAQGu470RtfPluQ/company-logo_400_400/0/1585766398168?e=1638403200&v=beta&t=SnAuvYKMqsD6jnVe23OaCOld4NnKJKxujjEdgDPWY18","PRIVATELY_HELD",,"http://elevatelabs.com","Discover your mind’s limitless potential.","55","11","50","3067","Elevate Labs is on a mission to improve people's minds.   Since 2014, we’ve helped millions of people around the world learn and improve concrete cognitive skills in reading, writing, and math through Elevate, our first mobile app which has won Apple's App of the Year Award. With Balance, our second mobile app, we’ve personalized meditation to help more people reduce stress, improve sleep, sharpen focus, and much more.   Elevate Labs is a fully distributed company of voracious learners and passionate doers, driven by our vision to help billions of people lead healthy, joyful, and productive lives.  If our mission resonates with you, please consider applying for our open roles!","2014","US",,,,,,"Internet","Education,brain training,educational games,skill training,brain games,meditation,mindfulness",,"2021-08-30T16:16:30.424Z","2021-08-31T17:58:46.488Z","687e09342124df63cd7329408e780065"
"eliassen-group","eliassen-group","13816","10995","https://www.linkedin.com/company/eliassen-group/","Eliassen Group","https://media-exp1.licdn.com/dms/image/C560BAQEF3CoiVTFtgA/company-logo_400_400/0/1526068982158?e=1638403200&v=beta&t=gcNTiyPP7M7SoNlJsZswhCUkLtxuTZn3GW_0zptiPos","PRIVATELY_HELD",,"http://www.eliassen.com","Positively impacting the lives of our employees, clients, consultants and the communities in which we operate.","808","1001","5000","309131","Eliassen Group provides strategic consulting and talent solutions to drive our clients’ innovation and business results. Our purpose is to positively impact the lives of our employees, clients, consultants, and the communities in which we operate. Leveraging over 30 years of success, our expertise in talent solutions, life sciences consulting, Agile consulting, cloud services, risk management, business optimization, and managed services enables us to partner with our clients to execute their business strategy and scale effectively. Headquartered in Reading, MA, and with offices from coast to coast, Eliassen Group offers local community presence and deep networks, as well as national reach. ","1989","US","Reading","MA","55 Walkers Brook Drive","6th Floor","01867","Information Technology & Services","Consulting,Managed Services,risk management,Government Services,Agile Consulting,Life Sciences,Direct Hire,Talent Solutions,Cloud Services,Business Optimization,Software Engineering ",,"2021-08-30T16:16:30.424Z","2021-08-31T17:59:47.088Z","4aff7dd8e881a9bb2633663b85663102"
"engie-uk","engie-uk","1992581","8282","https://www.linkedin.com/company/engie-uk/","ENGIE UK & Ireland","https://media-exp1.licdn.com/dms/image/C4E0BAQGensPns5oXzQ/company-logo_400_400/0/1554372465268?e=1638403200&v=beta&t=NUaFWL8nYnc-Gm-iBpVTo3DwjfllVDtW0iL68W7KuFQ","PRIVATELY_HELD",,"http://www.engie.co.uk","Updates on ENGIE activity in the UK & Ireland - including content by ENGIE’s new brand for services-led activity, EQUANS","2526","10001",,"40355","ENGIE is a leading energy and services company focused on three key activities: production and supply of energy, facilities management and regeneration. Our 17,000 employees combine these capabilities for the benefit of individuals, businesses and communities throughout the UK & Ireland.   ENGIE improves lives through better living and working environments. We help to balance performance with responsibility, enabling progress in a harmonious way.","2009","GB","London","Canary Wharf","Level 20","25 Canada Square","E14 5LQ","Renewables & Environment","Energy Supply,Energy Management,Facilities Services,Technical Services,District Energy,Compliance Services",,"2021-08-30T16:16:30.424Z","2021-08-31T17:59:57.170Z","770e012ee7d49ce1fd4dc1e5c7ef1e0e"
